hours,mins
7,54
12,33
10,16
12,45
10,4
29,37
8,49
7,8
8,40
16,46
5,17
9,58
9,23
66,29
10,1
20,22
15,50
10,59
11,44
9,24
20,15
10,43
10,35
7,27
13,12
2,47
8,25
9,34
9,58
2,22
10,47
3,33
8,53
8,55
11,35
7,19
8,8
14,4
8,32
9,7
10,6
3,10
2,58
8,36
7,27
3,
10,4
7,23
25,55
9,53
1,24
7,1
8,16
12,
10,13
12,37
51,34
13,24
14,31
19,24
10,21
13,30
11,
21,6
11,15
11,36
13,27
16,22
5,33
17,47
11,34
7,23
11,45
20,47
15,28
7,20
9,37
8,37
4,
12,29
23,20
2,56
8,13
7,18
6,58
11,38
5,58
8,42
14,58
9,20
3,44
7,46
17,29
4,24
8,14
11,37
8,52
8,29
9,7
8,51
12,24
10,55
12,15
4,38
16,13
2,14
1,47
7,28
8,43
8,28
8,48
13,52
7,35
10,
6,48
15,12
8,32
8,32
20,45
10,52
20,45
7,52
6,45
7,
7,43
26,48
13,15
14,54
9,7
9,25
,
12,2
31,16
9,56
9,20
13,23
8,13
10,17
12,32
12,32
12,40
30,6
3,32
9,47
22,58
10,43
11,
6,56
11,4
16,1
10,32
11,35
12,32
12,7
16,31
6,2
13,17
3,28
9,56
15,4
22,
8,11
10,21
16,48
17,25
2,3
13,12
9,5
12,50
15,58
5,48
8,30
13,15
21,58
10,7
7,25
28,14
7,
3,11
3,37
10,59
11,54
15,17
6,11
8,44
15,18
18,4
5,51
13,21
8,29
8,34
8,39
16,12
9,7
10,2
7,15
11,54
20,4
15,39
17,7
10,1
11,23
9,3
6,45
8,27
10,52
8,40
10,41
13,8
12,7
7,59
32,51
18,16
2,46
9,52
12,33
20,45
13,26
9,57
4,21
8,55
12,3
14,13
8,4
12,47
1,46
13,35
6,49
12,30
8,52
5,17
5,40
11,45
6,10
14,42
9,24
9,32
10,17
5,39
11,13
5,22
5,6
26,30
13,54
4,
3,42
10,1
6,56
4,24
4,50
16,20
8,35
15,4
9,44
15,57
13,5
7,34
16,33
6,45
7,18
12,17
8,22
7,28
15,57
9,12
8,8
7,10
12,3
18,20
17,52
6,14
12,37
9,22
8,16
22,15
8,16
9,33
8,7
17,19
7,18
12,17
8,22
7,28
15,57
9,12
8,8
7,10
12,3
18,20
17,52
6,14
12,37
9,22
8,16
22,15
8,16
9,33
8,7
17,19
1,53
12,37
8,7
9,33
17,19
11,18
16,22
6,43
5,37
13,53
7,52
7,14
11,15
27,
8,34
4,57
12,13
8,11
13,15
21,15
11,20
17,48
8,32
1,33
10,41
12,52
3,56
9,37
8,17
9,48
5,21
9,19
7,35
15,25
20,1
8,11
12,18
3,44
4,11
9,48
9,46
15,
3,28
8,56
7,16
6,34
6,14
9,28
8,57
5,33
3,18
8,49
16,52
7,53
9,17
13,50
11,50
18,5
10,
5,33
6,13
7,9
12,15
9,4
12,38
7,36
9,45
5,22
9,47
10,56
9,55
6,50
4,42
2,46
7,25
6,49
6,2
4,24
6,50
10,47
10,47
3,45
2,39
3,30
21,37
9,50
11,12
5,46
8,51
9,13
3,28
19,22
6,28
5,46
12,10
9,4
9,35
6,39
13,1
11,38
6,37
14,8
10,3
6,50
2,18
2,11
7,59
2,50
11,33
4,47
22,40
16,33
8,42
13,13
5,14
19,22
2,31
8,59
6,20
27,55
3,41
15,40
12,9
15,9
13,52
13,25
14,58
55,
5,1
57,11
3,20
2,32
10,51
14,26
7,53
8,32
13,52
33,12
3,3
3,15
16,5
8,1
13,10
10,31
10,7
10,50
18,56
32,24
15,6
14,42
7,1
9,41
4,2
8,50
8,11
3,24
16,2
9,23
9,51
1,22
11,13
20,50
7,16
15,50
9,36
15,47
5,15
8,33
8,20
11,22
10,12
9,44
10,59
8,5
11,47
5,49
13,10
5,44
10,9
7,6
21,52
5,44
7,6
9,9
4,58
98,1
6,42
9,50
8,49
7,28
5,1
11,46
7,54
9,25
15,8
11,3
7,2
10,4
11,30
11,24
