property_name,property_price,property_location,property_bedrooms,property_bathrooms,property_size,real_estate_agent
,"KSh 5,850,000","500mtrs OFF Kangundo Road, Kamulu, Kamulu Joska Malaa",3,,120 m²,CASTLE VILLAS LIMITED
,"KSh 15,000,000","1.2 Km from Co-op Bank Kamakis Off Eastern Bypass, Ruiru",4,,256 m²,
,"KSh 40,000,000","23 02015ST 0420p, Near Diamond Plaza, Parklands, Westlands",4,,2697 ft²,Ace Realtors Limited
,"KSh 13,000,000","23 03025 ST 0420p, Katani Road, Syokimau",4,,2250 ft²,Ace Realtors Limited
,"KSh 55,000,000",Lavington,4,,,Sarabi Realty Ltd
,"KSh 102,000,000","Loresho, Westlands",5,,,Durian Property Consult Ltd
,"KSh 50,000,000",Lavington,5,,,Splendor Holdings
,"KSh 37,000,000","0425m/0425p, langata, Langata",4,,2800 ft²,Ace Realtors Limited
,"KSh 29,000,000","Karura, Westlands",4,,,
,"KSh 120,000,000","Tigoni, Limuru",5,,,
,"KSh 10,000,000","23 03008 ST 0420p, River bank Estate, South B",3,,1650 ft²,Ace Realtors Limited
,"KSh 600,000,000","Kitisuru, Westlands",7,,,Royani Properties Limited
,"KSh 13,500,000","Nairobi Namanga Highway, Kitengela",4,,287 m²,Property Point Urban Kenya
,"KSh 55,000,000",Lavington,5,,,Abode Realty
,"KSh 50,000,000",Lavington,5,,,Sarabi Realty Ltd
,"KSh 60,000,000",Lavington,5,,,Sarabi Rentals Limited
,"KSh 10,000,000","0424m, South B Estate., South B",3,,1900 ft²,Ace Realtors Limited
